"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"63","187.18412744199546","214.1819695302949","5.080296674328039","-0.30683529950437965","0.007900000000000018","0.0084","0.007399999999999962","4000","0.0005263252907935132","0","0.0005263252907935132","0.0005263252907935132","63_62:0.018028919346264827","63_62:660","true"
"64","118.34784183136735","70.93355479670487","5.280719335746697","-0.30375435238712384","0.026599999999999957","0.031000000000000028","0.0222","4000","0.0005290712937549292","0","0.0005290712937549292","0.0005290712937549292","64_63:0.018102686959710318;64_65:0.016219427685802257;64_54:0.011491193652248072","64_63:660;64_65:660;64_54:660","true"
"65","85.37787056888479","50.45518654264517","5.2515279706687075","-0.27596352359214404","0.09989999999999999","0.09919999999999995","0.1006","4000","0.0006273149135825094","0","0.0006273149135825094","0.0006273149135825094","","","true"
"66","216.6932964765787","14.921414456382305","5.18582065198271","-0.30428988252354494","0.02400000000000002","0.013399999999999967","0.0346","4000","0.000448178552467981","0","0.000448178552467981","0.000448178552467981","66_73:0.011278089966353516;66_67:0.013532388923126693;66_65:0.01342348822220421","66_73:660;66_67:660;66_65:660","true"
"67","168.28406353421602","92.52350422829987","5.382854541228567","-0.30107515265852497","0.01739999999999997","0.0156","0.019199999999999995","4000","0.00029250440027904387","0","0.00029250440027904387","0.00029250440027904387","67_68:0.010659696243588257","67_68:660","true"
"68","186.40689641958508","105.02825817215479","5.115414525467588","-0.30470022645900613","0.03770000000000007","0.038000000000000034","0.0374","4000","0.0002955690592979779","0","0.0002955690592979779","0.0002955690592979779","68_55:0.008586369444974595","68_55:660","true"
"69","249.83767999496482","251.34091125652384","5.063559361011147","-0.3048241681857833","0.04630000000000001","0.046","0.046599999999999975","4000","0.00017690761041879574","0","0.00017690761041879574","0.00017690761041879574","69_68:0.0066595806603866325","69_68:660","true"
"70","199.97675172694906","123.49409051554551","5.203347794417328","-0.30313172762972973","0.016100000000000003","0.01980000000000004","0.0124","4000","0.00039035333927408834","0","0.00039035333927408834","0.00039035333927408834","70_69:0.007579402539806074;70_74:0.009474425396116676","70_69:660;70_74:660","true"
"71","265.3604675072376","102.06754035726347","5.040613997300783","-0.30660441264469074","0.025900000000000034","0.013000000000000012","0.0388","4000","0.00021531048492550803","0","0.00021531048492550803","0.00021531048492550803","71_77:0.009046520777648615;71_58:0.007944795359355106","71_77:660;71_58:660","true"
"72","208.41841847636042","93.88208953975958","5.07787241632817","-0.3049165500673834","0.021399999999999975","0.022199999999999998","0.0206","4000","0.0010421428836341362","0","0.0010421428836341362","0.0010421428836341362","72_81:0.008911344792032344;72_62:0.011579025274300159","72_81:660;72_62:660","true"
"73","153.9315064727839","55.384086842386544","4.975993384094931","-0.3087797160488346","0.06129999999999991","0.0234","0.09919999999999995","4000","0.0002462465373627944","0","0.0002462465373627944","0.0002462465373627944","73_85:0.019044578283610863","73_85:660","true"
